#MeV,dN/dE. a.u.
154.1639199,1.06024
154.4217706,1.76356
154.6803525,0.68672
154.9396678,2.07236
155.1997187,2.14596
155.4605075,1.58656
155.7220364,1.53412
155.9843079,1.34904
156.2473241,1.55484
156.5110874,1.88264
156.7756003,2.29632
157.040865,2.56236
157.3068841,1.31024
157.57366,1.53936
157.8411952,1.52444
158.1094922,1.833
158.3785535,2.86476
158.6483816,2.17256
158.9189793,2.55328
159.190349,1.2094
159.4624935,1.44836
159.7354154,1.60908
160.0091174,1.09392
160.2836023,1.44672
160.5588729,1.19368
160.8349319,1.9488
161.1117821,1.86496
161.3894266,1.50836
161.6678681,1.41404
161.9471095,0.21204
162.227154,0.6262
162.5080043,0.81308
162.7896637,0.55052
163.0721351,1.10392
163.3554218,0.3118
163.6395267,0.51288
163.9244531,1.29124
164.2102042,0.27472
164.4967833,0.33876
164.7841937,-1.06532
165.0724386,-3.01448
165.3615216,-3.87444
165.6514458,-5.49368
165.9422149,-4.19612
166.2338323,-2.96804
166.5263016,-1.6416
166.8196262,0.04896
167.1138099,1.59092
167.4088562,1.57808
167.7047688,1.5048
168.0015516,2.30456
168.2992083,0.5734
168.5977426,-0.05396
168.8971586,0.12736
169.19746,-0.5156
169.4986508,0.38432
169.8007351,0.00696
170.1037169,-0.23424
170.4076003,-0.6472
170.7123894,-1.06404
171.0180884,-0.13448
171.3247016,-0.0014
171.6322332,-0.00648
171.9406876,-1.47972
172.2500691,-3.11536
172.5603822,-3.2078
172.8716314,-2.58216
173.1838211,-2.15304
173.496956,-0.09276
173.8110407,-0.26088
174.1260799,-1.90844
174.4420783,-1.25232
174.7590406,-1.5562
175.0769718,-0.65224
175.3958767,0.51956
175.7157603,0.87444
176.0366275,0.28572
176.3584834,-1.38348
176.6813331,-1.58592
177.0051818,-2.59756
177.3300346,-1.90412
177.6558969,-0.56288
177.982774,-0.24452
178.3106712,-0.43356
178.6395941,0.0234
178.969548,-0.48788
179.3005385,0.43736
179.6325713,1.20096
179.965652,-0.14376
180.2997863,-1.0328
180.63498,-2.30908
180.9712391,-2.56836
181.3085692,-1.77744
181.6469765,-0.16508
181.986467,-0.75648
182.3270467,-0.52224
182.6687218,0.28404
183.0114984,0.85096
183.3553829,2.3964
183.7003816,4.25348
184.0465008,4.63944
184.3937471,4.44064
184.7421269,4.29728
185.0916468,2.98552
185.4423135,2.3308
185.7941336,1.93888
186.147114,0.89452
186.5012614,1.51184
186.8565828,0.1482
187.2130851,-0.4616
187.5707754,0.16472
187.9296607,-1.2074
188.2897482,-0.13972
188.6510452,1.08016
189.0135588,0.68456
189.3772966,0.011
189.7422659,-0.30368
190.1084741,-1.9288
190.475929,-1.801
190.844638,-2.02496
191.2146089,-3.0692
191.5858495,-3.90892
191.9583675,-3.6864
192.332171,-2.4214
